Date,Open,High,Low,Close,Adj Close,Volume
1997-01-01,11.166667,11.861111,10.611111,11.000000,6.881510,219353850
1997-02-01,11.055556,12.638889,11.000000,12.138889,7.593990,240156000
1997-03-01,12.027778,13.027778,11.833333,11.888889,7.437596,133445700
1997-04-01,11.722222,12.972222,11.638889,12.888889,8.071738,119520000
1997-05-01,12.888889,14.138889,12.666667,14.027778,8.784977,173335500
1997-06-01,14.000000,15.555556,13.805556,15.333333,9.602583,134912700
1997-07-01,15.333333,16.645832,14.604167,16.604168,10.410395,119939550
1997-08-01,16.625000,16.875000,15.687500,15.729167,9.861794,106325700
1997-09-01,15.812500,18.125000,15.791667,17.375000,10.893687,127059900
1997-10-01,17.520832,18.875000,16.729168,18.583332,11.662888,136966800
1997-11-01,19.166668,19.354168,17.875000,18.687500,11.728262,93867000
1997-12-01,18.937500,20.166668,17.645832,19.625000,12.316635,103974000
1998-01-01,19.666668,20.541668,18.437500,20.166668,12.667407,87627000
1998-02-01,20.500000,22.937500,20.416668,21.291668,13.374064,107246700
1998-03-01,21.208332,23.479168,21.145832,22.541668,14.159234,136070400
1998-04-01,22.479168,24.229168,21.854168,23.229168,14.602377,121498500
1998-05-01,23.541668,26.312500,22.562500,26.187500,16.462048,120076200
1998-06-01,26.500000,28.854168,25.354168,27.687500,17.404984,145564200
1998-07-01,27.750000,32.666668,27.750000,27.916668,17.562138,160953750
1998-08-01,27.708332,30.625000,23.875000,25.416668,15.989411,150087300
1998-09-01,25.666668,29.750000,23.500000,26.333332,16.566072,154875900
1998-10-01,25.333332,29.958332,21.083332,29.041668,18.284252,186681600
1998-11-01,29.250000,34.666668,28.750000,33.166668,20.881300,105596400
1998-12-01,33.083332,41.333332,32.166668,40.791668,25.681898,106602900
1999-01-01,40.250000,40.833332,34.583332,40.333332,25.408655,139142550
1999-02-01,40.250000,41.125000,35.875000,39.791668,25.067434,101236050
1999-03-01,39.083332,44.208332,38.833332,41.500000,26.143639,111417900
1999-04-01,41.666668,45.291668,37.708332,39.833332,25.106298,117392100
1999-05-01,39.875000,41.166668,36.833332,37.708332,23.766941,124823100
1999-06-01,38.000000,43.125000,36.750000,42.958332,27.075932,104368950
1999-07-01,42.541668,46.625000,41.625000,42.541668,26.831177,87116700
1999-08-01,42.083332,44.250000,35.750000,41.000000,25.858824,119803950
1999-09-01,40.833332,46.000000,39.375000,45.750000,28.873333,101502300
1999-10-01,45.583332,52.333332,44.708332,50.500000,31.871111,126242700
1999-11-01,50.416668,55.666668,49.916668,52.791668,33.317406,116575500
1999-12-01,53.125000,69.750000,52.916668,68.750000,43.421452,139005300
